Check ID,Check,Status (Not started / In progress / Complete / Not applicable),Owner,Scope and period,Evidence references,Finding or result,Next action and due date,Approval reference
A01,"List suppliers, accounts, service types, review dates and exclusions; reconcile expected invoices to received files.",Not started,,,,,,
A02,"Attach original invoice detail, applicable contracts, amendments and order records using consistent references.",Not started,,,,,,
A03,"Match each tested line to service identity, billing period, quantity, units, rate and applicable discount.",Not started,,,,,,
A04,"Investigate duplicate-looking charges, unapproved add-ons and unexplained adjustments; log missing evidence and specialist questions.",Not started,,,,,,
A05,"Compare usage with the actual allowance, pooling and roaming terms, including unusual operating periods.",Not started,,,,,,
A06,"Confirm low-use services with their owners; distinguish standby, seasonal, missing-data and retired-service cases.",Not started,,,,,,
A07,"Record effective dates, commitments, renewal conditions, notice requirements and the applicable dispute procedure.",Not started,,,,,,
A08,"Route uncertain contract, tax or regulatory interpretations to qualified specialists before asserting an error or entitlement.",Not started,,,,,,
A09,"Map billed services to active users, devices or sites; retain identifiers for transferred and retired assets.",Not started,,,,,,
A10,"Compare cancellation requests with supplier acknowledgments, completion dates and subsequent charges before closing the task.",Not started,,,,,,
A11,"Test import completeness, record matching, exception handling, permissions and export using representative source files.",Not started,,,,,,
A12,"Assign who investigates, approves, submits disputes, changes services and reconciles the financial outcome.",Not started,,,,,,
A13,"Track each finding through supplier response and verified resolution; separate requested, accepted and posted adjustments.",Not started,,,,,,
A14,"Schedule the next review, update control rules and retain unresolved exceptions with an owner and next action.",Not started,,,,,,
